match_id,competition_id,competition_format,home_team_id,away_team_id,home_rank,away_rank,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_wins_last5,away_wins_last5,home_yellow_avg,away_yellow_avg,home_red_avg,away_red_avg,home_fouls_avg,away_fouls_avg,home_assists_avg,away_assists_avg,home_rating_avg,away_rating_avg,is_neutral_venue,home_score,away_score,result
1,5,2,27,18,11,7,0.4,0.57,2.65,0.75,1,2,1.99,1.97,0.31,0.12,10.45,7.86,0.74,0.3,2.77,3.7,0,0,0,DRAW
2,2,2,4,29,13,13,1.12,0.66,2.15,3.32,2,2,2.32,0.68,0.27,0.11,17.65,8.45,0.42,0.83,2.43,2.65,0,0,1,AWAY_WIN
3,4,2,23,11,1,13,3.01,0.9,1.02,2.66,5,1,2.62,0.66,0.08,0.19,11.31,17.95,0.77,0.55,4.5,2.86,1,0,0,DRAW
4,1,0,30,28,2,1,1.47,1.06,0.37,0.92,5,4,2.26,1.49,0.31,0.34,17.83,8.9,1.59,0.95,3.31,5.0,1,1,0,HOME_WIN
5,3,2,11,25,13,7,0.9,1.83,2.66,0.59,1,3,0.66,2.92,0.19,0.29,17.95,12.05,0.55,1.34,2.86,2.82,1,1,1,DRAW
6,9,0,23,14,1,6,3.01,1.74,1.02,0.53,5,4,2.62,1.85,0.08,0.39,11.31,11.89,0.77,0.23,4.5,3.47,0,4,2,HOME_WIN
7,9,0,29,5,13,3,0.66,2.07,3.32,1.29,2,4,0.68,2.26,0.11,0.02,8.45,7.96,0.83,0.82,2.65,3.38,1,0,0,DRAW
8,5,1,5,2,3,14,2.07,0.37,1.29,1.97,4,0,2.26,1.0,0.02,0.32,7.96,12.08,0.82,0.25,3.38,2.27,0,1,0,HOME_WIN
9,2,1,8,22,5,8,2.36,1.08,1.47,0.92,3,2,0.58,2.81,0.16,0.22,8.48,16.2,0.6,0.93,4.78,2.61,1,3,0,HOME_WIN
10,3,0,30,8,2,5,1.47,2.36,0.37,1.47,5,3,2.26,0.58,0.31,0.16,17.83,8.48,1.59,0.6,3.31,4.78,1,2,2,DRAW
